Tipo de credito,Tasa de interes,Saldo del credito
Nomina,00 - 02,0
Nomina,02 - 04,0
Nomina,04 - 06,0.04
Nomina,06 - 08,0
Nomina,08 - 10,0.02
Nomina,10 - 12,0.09
Nomina,12 - 14,0.16
Nomina,14 - 16,2.83
Nomina,16 - 18,5.32
Nomina,18 - 20,6.97
Nomina,20 - 22,16.84
Nomina,22 - 24,10.74
Nomina,24 - 26,14.84
Nomina,26 - 28,10.89
Nomina,28 - 30,8.62
Nomina,30 - 32,3.07
Nomina,32 - 34,3.05
Nomina,34 - 36,4.04
Nomina,36 - 38,2.8
Nomina,38 - 40,3.76
Nomina,40 - 42,1.9
Nomina,42 - 44,1.93
Nomina,44 - 46,1.01
Nomina,46 - 48,0.37
Nomina,48 - 50,0.1
Nomina,50 - 52,0.05
Nomina,52 - 54,0.05
Nomina,54 - 56,0.26
Nomina,56 - 58,0.04
Nomina,58 - 60,0.06
Nomina,60 - 62,0
Nomina,62 - 64,0
Nomina,66 - 68,0
Nomina,72 - 74,0
