Tipo de credito,Tasa de interes,Saldo del credito
Personal y Microcreditos Ind.,0,0
Personal y Microcreditos Ind.,00 - 02,0
Personal y Microcreditos Ind.,02 - 04,0.07
Personal y Microcreditos Ind.,04 - 06,0.01
Personal y Microcreditos Ind.,06 - 08,0.26
Personal y Microcreditos Ind.,08 - 10,0.36
Personal y Microcreditos Ind.,10 - 12,0.51
Personal y Microcreditos Ind.,12 - 14,0.58
Personal y Microcreditos Ind.,14 - 16,1.32
Personal y Microcreditos Ind.,16 - 18,2.78
Personal y Microcreditos Ind.,18 - 20,3.26
Personal y Microcreditos Ind.,20 - 22,1.05
Personal y Microcreditos Ind.,22 - 24,4.43
Personal y Microcreditos Ind.,24 - 26,14.31
Personal y Microcreditos Ind.,26 - 28,2.17
Personal y Microcreditos Ind.,28 - 30,4.65
Personal y Microcreditos Ind.,30 - 32,2.66
Personal y Microcreditos Ind.,32 - 34,1.53
Personal y Microcreditos Ind.,34 - 36,2.09
Personal y Microcreditos Ind.,36 - 38,2.76
Personal y Microcreditos Ind.,38 - 40,1.15
Personal y Microcreditos Ind.,40 - 42,3.19
Personal y Microcreditos Ind.,42 - 44,0.36
Personal y Microcreditos Ind.,44 - 46,1.78
Personal y Microcreditos Ind.,46 - 48,1.42
Personal y Microcreditos Ind.,48 - 50,1.49
Personal y Microcreditos Ind.,50 - 52,4.63
Personal y Microcreditos Ind.,52 - 54,2.99
Personal y Microcreditos Ind.,54 - 56,6.01
Personal y Microcreditos Ind.,56 - 58,3.9
Personal y Microcreditos Ind.,58 - 60,4.07
Personal y Microcreditos Ind.,60 - 62,7.26
Personal y Microcreditos Ind.,62 - 64,2.26
Personal y Microcreditos Ind.,64 - 66,2.3
Personal y Microcreditos Ind.,66 - 68,1.73
Personal y Microcreditos Ind.,68 - 70,1.49
Personal y Microcreditos Ind.,70 - 72,1.14
Personal y Microcreditos Ind.,72 - 74,0.52
Personal y Microcreditos Ind.,74 - 76,1.63
Personal y Microcreditos Ind.,76 - 78,0.85
Personal y Microcreditos Ind.,78 - 80,0.7
Personal y Microcreditos Ind.,80 - 82,0.28
Personal y Microcreditos Ind.,82 - 84,0.13
Personal y Microcreditos Ind.,84 - 86,0.28
Personal y Microcreditos Ind.,86 - 88,1.6
Personal y Microcreditos Ind.,88 - 90,0.1
Personal y Microcreditos Ind.,90 - 92,0.22
Personal y Microcreditos Ind.,92 - 94,0.04
Personal y Microcreditos Ind.,94 - 96,0.46
Personal y Microcreditos Ind.,96 - 98,0.03
Personal y Microcreditos Ind.,98 - 100,0
Personal y Microcreditos Ind.,> 100,0.93
